Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 08/16  03:00:00,1035970923.6965793,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8033.104018793706,0.0,7881046.298019405,0.0,7881046.298019405 
 08/16  04:00:00,1079970837.3601187,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8034.679645876242,0.0,7880569.3775420109,0.0,7880569.3775420109 
 08/16  05:00:00,1257688798.5034393,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,12862.924403885141,0.0,15704314.018488413,0.0,15704314.018488413 
 08/16  06:00:00,1727308116.3473364,0.0,54424055.67510446,179426617.44547747,61514400.0,717706469.7819098,351999296.7032966,109586095.20050785,135746773.71586693,116904407.82517325,1023846652.1299038,1015960890.4621673,7885761.667736568 
 08/16  07:00:00,2129532894.021394,0.0,74092219.67071891,538279852.336432,0.0,717706469.7819098,439999120.8791207,103907369.5922554,138643453.9357836,116904407.82517325,966622250.248239,943015829.9062309,23606420.342008026 
 08/16  08:00:00,4144034426.971087,0.0,111197006.11083932,1614839557.0092962,0.0,1614839557.0092962,439999120.8791207,103907369.5922554,142347408.5451055,116904407.82517325,463422946.0904542,416049261.6056712,47373684.48478296 
 08/16  09:00:00,4055375501.152754,0.0,150977956.12720508,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,103907369.5922554,145907268.97414253,116904407.82517325,280519502.1604065,233105266.42316256,47414235.73724392 
 08/16  10:00:00,3974221555.6466228,0.0,237036098.54793687,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,103907369.5922554,154694829.39892743,116904407.82517325,110315794.73352131,62876542.77991728,47439251.95360402 
 08/16  11:00:00,4008848278.50315,0.0,265546939.922957,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,105267275.6325528,159450804.84013773,116904407.82517325,71459197.23687378,8047824.756737689,63411372.48013609 
 08/16  12:00:00,3843311643.264237,0.0,275336116.49844786,1614839557.0092962,0.0,1435412939.5638197,131999736.26373624,103907369.5922554,164911516.51150806,116904407.82517325,79226008.37182772,7663840.282090102,71562168.08973763 
 08/16  13:00:00,4035435651.7683126,0.0,280829652.5106101,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,108676673.65807957,167346067.49212087,116904407.82517325,63657671.678360339,106632.35762304878,63551039.32073729 
 08/16  14:00:00,4054751857.1673047,0.0,293266480.0572717,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,110909926.00523108,171992192.99729917,116904407.82517325,47373807.51359178,0.0,47373807.51359178 
 08/16  15:00:00,4059383033.4501779,0.0,295052633.6693073,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,112647929.6806444,173099211.9927238,116904407.82517325,39462045.49293114,0.0,39462045.49293114 
 08/16  16:00:00,4211584364.521015,0.0,276413922.9270177,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,114019955.24961117,166567579.88523526,116904407.82517325,62601949.177874419,0.0,62601949.177874419 
 08/16  17:00:00,3781086748.5369637,0.0,267597926.7528864,1255986322.1183415,0.0,1435412939.5638197,439999120.8791207,105692725.88579956,159493305.5118227,116904407.82517325,33120803.516396196,866045.6046469313,32254757.911749267 
 08/16  18:00:00,3049768881.246903,0.0,259439275.0651571,897133087.2273873,0.0,1076559704.672864,439999120.8791207,103907369.5922554,155825915.98494456,116904407.82517325,121354461.844732,97736972.60933034,23617489.23540165 
 08/16  19:00:00,2933948150.3879539,0.0,204874862.41947747,897133087.2273873,30757200.0,1076559704.672864,351999296.7032966,103907369.5922554,151812221.94749893,116904407.82517325,285519409.57004997,261943820.49940009,23575589.070649879 
 08/16  20:00:00,2510915112.5165717,0.0,169437954.41210319,538279852.336432,184543200.0,897133087.2273873,351999296.7032966,103907369.5922554,148709944.41992335,116904407.82517325,574045628.8654153,550458014.9637303,23587613.901685016 
 08/16  21:00:00,2451079053.996991,0.0,194140434.3149558,538279852.336432,184543200.0,897133087.2273873,263999472.52747248,103907369.5922554,152171230.17331393,116904407.82517325,618385259.2487482,610497257.743067,7888001.505681182 
 08/16  22:00:00,1257683971.2660788,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,8035.68704331922,0.0,7881243.81333122,0.0,7881243.81333122 
 08/16  23:00:00,1079970838.5281094,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8035.8476364922035,0.0,7880765.349128464,0.0,7880765.349128464 
 08/16  24:00:00,1035970927.0378306,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8036.445270051556,0.0,7881241.920747268,0.0,7881241.920747268 
 08/17  01:00:00,1035970925.7328863,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8035.140325712094,0.0,7880765.984941535,0.0,7880765.984941535 
